-0x1.aee8826983ddbc03003f3b43554bp-3,0x1.8e49f239188177c0f292a1224212p-4
0x1.a0eebd394185da5a4f5b7fccbe7ap+194,-0x1.4d49a13a69ef64fa884d013654c8p+194
0x1.7fecb165b64c17f9d0c75d7c98bap+199,-0x1.2d0a0c7f4c35e98d67374b5198c1p+199
0x1.6781d9ed4d432877a79fec6df80cp+204,-0x1.148669ce17c8e6fa85df1b206a43p+204
0x1.563d6c592802a3a065e4927c5b9ep+209,-0x1.023e409704f38ba143515970172cp+209
0x1.4b2150be8b2b0dcd768d94928057p+214,-0x1.ea3f7e118e9c33cbc54bd6ae87ecp+213
0x1.45893915387968637940918c9ff8p+219,-0x1.d8d85a45154000163faf779b6a8bp+218
0x1.451aaef2505c5231634e14f4cc1bp+224,-0x1.cf4ad720c00db2869c2b31055be3p+223
0x1.49bbe48995cf91e1432d66f4e5a0p+229,-0x1.cd03d1b518ea3e2e2c439f8c125fp+228
0x1.538fff205ff9657bb057a44dec4fp+234,-0x1.d1cad2a47e06eded5c1cb2678d39p+233
0x1.62f83ed57ef0183233eb1e0fb1cbp+239,-0x1.ddbb49de2d37dc3332d5efdcf59dp+238
0x1.7899f6d7608ea7e69ef213a5d55dp+244,-0x1.f14470a75ac6d486bd7e18c8d37ap+243
0x1.9569cfd7b399380558861671dc3bp+249,-0x1.0697c7e909909211e9732a6042f4p+249
0x1.babd6009b71e8584d212b0c744aap+254,-0x1.19568c81ae1d22adb00798077057p+254
0x1.ea64d44646e3528e6656d3cab17bp+259,-0x1.31b4dcdbcd202665c64112ce7396p+259
0x1.1367a69d93c5163c9bc384967c7ep+265,-0x1.50d6b31beab41252b9657b026078p+264
0x1.399ee9122f56489c741df124fd5bp+270,-0x1.7843b759261bd1ce57abfb1d898bp+269
0x1.6a053f29cfe3498506e7c4464479p+275,-0x1.aa061337d57699d7d817f677a544p+274
0x1.a7860d7c0a0297f20ab2781c4db4p+280,-0x1.e8d558418a8eec222f020e71896dp+279
0x1.f61107ce943b6c516d4a31b3137cp+285,-0x1.1c291c5014e89f684f3293bd6fadp+285
0x1.2d7e845f1ba07644191768896365p+291,-0x1.4eacf7b784d29cf9587cba4bd494p+290
0x1.6eca48df3a33c00f48272642df56p+296,-0x1.8f3da6e3210c866e1ad3e49403e2p+295
0x1.c3ef6c8bc0ea12aab3b46ebb4fa0p+301,-0x1.e24df888a914268aec13751c9e80p+300
0x1.19f060cbece76087cd5398d1111dp+307,-0x1.26f8bb259817b2b566a4283c51d6p+306
0x1.642948d5722a3435168930024f10p+312,-0x1.6d4213c855daa2c0afb77cc1f59cp+311
0x1.c7770176a91ab3b1b1b56be09976p+317,-0x1.c9ce0a29eca05e74dc088e376abfp+316
0x1.26c5769e0c70f8be47c41581a703p+323,-0x1.2259d8a09317c5ed3fef5c035276p+322
0x1.822196bcca259174835583d70b60p+328,-0x1.74aadf743853d80fdb9361107416p+327
0x1.ffd074cfb911b1c8ce044e89e6ecp+333,-0x1.e3ed2d4eb78abb34d07933ddfb59p+332
0x1.572f41235cf9f7818c597f723098p+339,-0x1.3dd5ecc2ac76cb10c384fd9168bep+338
0x1.d1913706639c35dedb325b98a5fep+344,-0x1.a64492ef3a9053a56f1fbc0b052fp+343
0x1.3f6af33425e53701ce46f22977edp+350,-0x1.1bab94ed1b919eec3545263866dfp+349
0x1.bb4367b2a566e0de09b05f0bee16p+355,-0x1.815efa2b853c8a80dc165c7b3ee0p+354
0x1.3702d36144b038780b5f8bdbd69dp+361,-0x1.08a52efad62f279c6cc5cd7c086ap+360
0x1.b945f603dfc3344db9af30886a11p+366,-0x1.6f6d2347d9d04280f5ba039b58d4p+365
0x1.3c7aa1cf4896c491496578297db0p+372,-0x1.01cc5327b0df6857bbc8f90b1635p+371
0x1.cae0913ea8d1c9d09f17c4f0f6e8p+377,-0x1.6d975d8b77f86c9af7b393ac662ep+376
0x1.503dff37e1efe1ab63c15cf9cd23p+383,-0x1.05f0b954fba6c99f53042606d99cp+382
0x1.f1fe1f641c18d97a80556b2db71ap+388,-0x1.7b3b389cc2c8964421823cbcf2bbp+387
0x1.74a651462fa7df3985c4b414ff9dp+394,-0x1.1552d99e15ee2934d12e0b24fa06p+393
0x1.19c0c4a3318a3a94b8c67c7ba802p+400,-0x1.99b0ed9ea7f77fcbaed41f4b2bdap+398
0x1.ae700ab3237f48a7b687355618c5p+405,-0x1.31a2038aa0b05628677fc4efd838p+404
0x1.4c23c203740c5c3fae87e4bf77dcp+411,-0x1.cc7eaae8dd3e209fe33b332150bap+409
0x1.02df5780b2a074200d8587213443p+417,-0x1.5e485172a4cfe4f404d282d7a52fp+415
0x1.978f786cdcab2f2b07b37c70910cp+422,-0x1.0d0122e9f69a6a9d0ebd28ef79b3p+421
0x1.43fe73ed779d62eaaa4576357a93p+428,-0x1.a11635fea4f37374636bd47875ddp+426
0x1.0414c3740e3415db63749739fa1bp+434,-0x1.465e566f85b92e6b18d1de2a8d9ap+432
0x1.a598a9514305304e67fd6a87e273p+439,-0x1.01bdc921ecf6bd21ed7dd5d87249p+438
0x1.58fc4bffe0e78fc6db89e5434a0cp+445,-0x1.9acd7acdc014093410b02df6942cp+443
0x1.1cfa6bb8322810a5ce4361e874aap+451,-0x1.4a53e4936f494ef1ec612c9da15cp+449
0x1.db3f8c7b8eeba86cedcc49408aebp+456,-0x1.0bfa4a7236b64ed8bbf1fb468145p+455
0x1.8ff8d67f2959acf2dcc7954cbee2p+462,-0x1.b69ad043e373ffc5d70da6c6cb45p+460
0x1.53ba73b85d663858305435db89dcp+468,-0x1.6a0a865fae7093e214613c1db658p+466
0x1.23330ae7a3befc6e583ea6a38145p+474,-0x1.2d6432d9864f7ec3592c49cd8403p+472
0x1.f7bb7b329fa1f4fb449f6c96154bp+479,-0x1.fa05df2116119d3c6fc1969000cap+477
0x1.b79b6d1d74f5e9a2e4d78ac17ad2p+485,-0x1.ac50a25f8726b0e4d9c285ae57cfp+483
0x1.830fdf94b49192b35e682e5dfca3p+491,-0x1.6d7fd103c6e8e092607b957f7466p+489
0x1.57ce4e6a78b1988a7db731ea3250p+497,-0x1.3a66f2606d46800935f54be928a7p+495
0x1.340e54aa01c670eeaf676cf950e0p+503,-0x1.109626a27a1e6d8517bcc41364c0p+501
0x1.166aeac8fd0b6acba6fbd348ed66p+509,-0x1.dc56be3acecc511d1b9a7746ddb8p+506
0x1.fb96d7fd718c269737e05baaa74fp+514,-0x1.a35fb41b82d92441af34adea5ce4p+512
0x1.d2a4a5bacf752766782dc6d2c8ccp+520,-0x1.73fd04f09f8838e938c7ab0352ebp+518
0x1.b0a0603fe52ee47a208d84940e8fp+526,-0x1.4c619872de81e8d0acdcc813b031p+524
0x1.94738e208b264b01bbead75c3429p+532,-0x1.2b20a455820b000ea1ff8686cecap+530
0x1.7d410b56454d33742285577b1efep+538,-0x1.0f17ee3c1b36128a918581afdb26p+536
0x1.6a5988fdb4966cc229fe22ac6298p+544,-0x1.eebe87008cda57cd713adfc51bdap+541
0x1.5b32c29946cff02a705cf5162e55p+550,-0x1.c677a7919b99cb5122b088a4b159p+547
0x1.4f60c7ec15e900ef9b1de7698077p+556,-0x1.a42cea632afbc6fdb336161c3e6bp+553
0x1.4690e4765b764acc8ac7ac41becdp+562,-0x1.86e8332ee9df696e1d37e50b8de4p+559
0x1.4085cccaa8aa40855341e65ef62cp+568,-0x1.6ddfd74ab6de7fcf7090425681c9p+565
0x1.3d14d1655bb06197a2551f27eae4p+574,-0x1.586d5903bb8555578356d1ec2170p+571
0x1.3c23e89acda0f8635bf53f7cd85fp+580,-0x1.460607f926cd05d2e930e005997fp+577
0x1.3da86f3182b21fb5497b5fd6cae4p+586,-0x1.36350eafa22fc935ff1dd5cc5b4bp+583
0x1.41a68a8881790f220a4e8aa26fdap+592,-0x1.28969011749961c52e47a72036b9p+589
0x1.483120ab7bc05f4be8118482d95cp+598,-0x1.1cd38a86823c600d55cf1d66de63p+595
0x1.516a632bf57ce99df514b9dee705p+604,-0x1.129e437d2bd799f47fbcec574ccep+601
0x1.5d84f1a0a247909f91de8c791207p+610,-0x1.09af06cbc7dfc8eb3e41076c82c9p+607
0x1.6cc5a0dd7dc280f89d982248a0afp+616,-0x1.01c109fd4dbb7eb640a8679c4db0p+613
0x1.7f85fce190c9d04dfb29aa83d1f2p+622,-0x1.f51e8986a561d8e98b96028868bdp+618
0x1.9637a5b86cf6cd9bea61e370af69p+628,-0x1.e7a21af7aefc66f1c8bb6318fb04p+624
0x1.b168b3db97a32a1eee15fc2a06ecp+634,-0x1.da6c8578b655fc7021ef2753bdd3p+630
0x1.d1c95fda086a55f180b4ef4a000dp+640,-0x1.ccc581247a70c672ce42072e42ffp+636
0x1.f8333c4b4252d5b0502b81a672f4p+646,-0x1.bdd1a157e345eae013473adf9fc1p+642
0x1.12d934e2cc66803c42d13058e97cp+653,-0x1.ac845ce5a2f43f98c5aed040ddcbp+648
0x1.2dc8a64a5e7c7665a7858c60b84fp+659,-0x1.978e3254174c8bbc89990bd9d0d6p+654
0x1.4db3bae3554a22ca8d30533a8490p+665,-0x1.7d4586ed98b7cad7dd658ac5716ep+660
0x1.73965415c9d29473ca7fd58d6d83p+671,-0x1.5b886a476f4aa8a7280ec832eb78p+666
0x1.a0a8954f6fe27c2e5e44e87bc262p+677,-0x1.2f94c76df73dec98c2eb20aa7882p+672
0x1.d66e7cbe1d03e0fc7f08e2ef9504p+683,-0x1.eba761fe10472b9a3c5ed2961ab4p+677
0x1.0b65fa76aa509300accaf3da43e7p+690,-0x1.53268f4a14115c9d630df6bc0299p+683
0x1.320f5f5b550cdd0093b669a1df73p+696,-0x1.12a46c7b9faf9d68e0b389ffd95dp+688
0x1.60b003576468f6723797b81755bfp+702,0x1.042d5b940f99a6306935bb84b6d6p+694
0x1.99280aa55a34d0edfd785811c95bp+708,0x1.e492f7135c9d85cfb090ac522895p+701
0x1.ddd7ae1e57c188cbf95e10a86292p+714,0x1.dd539cd8d230f9bfe4a9462b6b85p+708
0x1.18e250a56176f77b18593858b5a1p+721,0x1.8a91d58a0f24d8a8f524e48b653ap+715
0x1.4c65a62cfa42ca850277f13e822ap+727,0x1.2cc3bdf59f5b7497534c907b2f81p+722
0x1.8befed3e52b9c49aed9b7a5e28ddp+733,0x1.b640ada23ad9aff0a24eee711e76p+728
0x1.dab246aa8f16127bb8b3f04e848dp+739,0x1.3692725ee4c65e347a1be5ab001bp+735
0x1.1e67308547d01bb452c0e24e38e8p+746,0x1.b0663ea7fb35c86aebc8cd6f1accp+741
0x1.5bd1b5070dbbe10c20f6cda9a28ep+752,0x1.297f5822f1e70346794927adec8ep+748
0x1.a91ab695452c34092a5f23b15b20p+758,0x1.963a143c2deaf3d19ba5b043a7dbp+754
0x1.056e320a25aed8aed4ca45a04264p+765,0x1.13fe25f571710f19c32a8be5d88cp+761
0x1.4393c648eb5420fe0fe8bc2810f3p+771,0x1.75f1ef64223c2d71b32b60891c02p+767
0x1.9302121e7ccf6b5065fcc4395f83p+777,0x1.f9f74c8501dc145ed0a3af8b2b9ep+773
0x1.f9106e34e608dc28879491969b70p+783,0x1.56385680669f224cfeecf5840cffp+780
0x1.3e7104b8aa5570abb3fea18bfa73p+790,0x1.cf3da1835d7802df97e18536e100p+786
0x1.9405f4ee2deac8a55749d9a149dbp+796,0x1.39f51f4ae312450e1b079744eb88p+793
0x1.01deaa45ec130916eef0c41aa54cp+803,0x1.aa62d63e8a65627c2a40a06ff372p+799
0x1.4b2c70e8c34217a7b25cba1470ffp+809,0x1.223addcdb4f9953b0b76064a806ep+806
0x1.abe254e47d97f8046948e3b28052p+815,0x1.8c328c58f75d07982da3cc050573p+812
0x1.1613def38aa95d7c9e672ff770c6p+822,0x1.0f42a995a7143073684eed2f7ecdp+819
0x1.6b98b7a4ad883d1ef148693a7956p+828,0x1.74aeafd96b14f7d7a1841b676300p+825
0x1.de3c50cc065c87747e2abdc7a5aep+834,0x1.00ec57d9e1d94205b1a83a21160ap+832
0x1.3c5d399e9fce156f816a2a2570cdp+841,0x1.6390b6f895c030374e48d93fe96ap+838
0x1.a504a4e34920e5df2d3e4a5b3b5cp+847,0x1.edff2f574767a7cd25c252689b29p+844
0x1.19c742b5c3a3e7fef33201e679b2p+854,0x1.588b4ad229a137c2ada082779d28p+851
0x1.7b5c8039d73abe077c22969446b8p+860,0x1.e29a5ddd6688720f5fed417978f6p+857
0x1.00d705f4275bd1cbd5f2fd5b2183p+867,0x1.536c4455f15b7751e3b0497d232fp+864
0x1.5dc4f349ec2ef067e8de13eaf94fp+873,0x1.df816ceef27510f40c4cbee850dap+870
0x1.df08b98f43ceaaa7dadb7c4b60ddp+879,0x1.542fde80d29d7ab6edda08659e15p+877
0x1.49e48027a46e750ee84f570f4e62p+886,0x1.e4d735ed82ec478ac391ec8bc6fdp+883
0x1.c8ed28240f75762d50d6183c2c1ap+892,0x1.5b0e5884daf0a3755600b84fe544p+890
0x1.3e35c08d5acb4f938c3b7bd6821dp+899,0x1.f31caa0b0fd4e427c7be332c3bbep+896
0x1.bdadaa8127f2f0065086a32a74d3p+905,0x1.68897c24d98d8f5f4d96c297673cp+903
0x1.39d4ccdc05131db8db6408a729cfp+912,0x1.05a2f9f5fea3fc30880e569d5007p+910
0x1.bc6918c3df7d1de6bcd1a0a0a56fp+918,0x1.7d7dd3e26119523ec4e80b83db2bp+916
0x1.3c62015836377c75192ad15a0f76p+925,0x1.176b99b483659c40d5c9baa46d0bp+923
0x1.c4ed7da6513ae7baddc6331e4334p+931,0x1.9b3af76dea6e8a1b57007d7fc998p+929
0x1.45f4d16cd2b1e3c82ad9aba38e5ep+938,0x1.3006ec84b5e96e953918af4e9aeep+936
0x1.d7af468d784b208bf4b385a32fa6p+944,0x1.c3a6d71ae14479a916dd22c0b805p+942
0x1.571c28b70d3a620701dee04c30f6p+951,0x1.510e7adb2d71a2cafd2e12edcbbcp+949
0x1.f5d30bf7a107d6ac084e9ba7a004p+957,0x1.f9714ab112e0639f79adfd21d8f8p+955
0x1.70ec0e44a6b5b89196d346449cd4p+964,0x1.7cc2b5dc3902d0429b8e6a8a1fa2p+962
0x1.10a57d7fb390dfc70a77d25ed9d4p+971,0x1.202fc5a2ebe2708a3342e8ea9686p+969
0x1.951a50d4fad4e487cf43682621acp+977,0x1.b64b9eadee4fe28f4bb8974eb2b1p+975
0x1.2e85fba72edea1250736554a1bd9p+984,0x1.4edd8cfc197da89f3dad691645fap+982
0x1.c62e5eb5dc843fb86d320f926fcdp+990,0x1.010c044580a3686003458b4d4be8p+989
0x1.56b12a1738da99e03aac50517a35p+997,0x1.8c7ad6ded94f87fdad1df74150f0p+995
0x1.03e5c51b5079e3762062695b442cp+1004,0x1.33357663e7e7bc53e53e199e8843p+1002
0x1.8c39a3c4d2497f4dee4a0582fbb2p+1010,0x1.de4eb42c0ff0c38a38b848affb43p+1008
0x1.2f90c0963d7be4a7b92b80b93bafp+1017,0x1.7617715ca7c16f2598bfc4bd3fdcp+1015
0x1.d3800b04ef0da709ef8bb938d1b6p+1023,0x1.25f2fcfac2ce17b8b48c71b49edep+1022
0x1.69cad1b8a25e3160869d760bc209p+1030,0x1.d01aca53007a0bbea85cc4225482p+1028
0x1.196309aef8fbc45f4002f9c849b3p+1037,0x1.7014fa6f8557a02f9a1abcdb7263p+1035
0x1.b7e15b73a242a3ac7cc130de34c0p+1043,0x1.2547d496405d64b2a323aea3efb6p+1042
0x1.59869f2e93512f9ba519ef9e3ba6p+1050,0x1.d58606a9408627d8978a262264bfp+1048
0x1.10bf70f50ef257ebf6665040515bp+1057,0x1.7992d1d20fdbde862f841ba0bc3fp+1055
0x1.b0b58b4021c874609def9a32e8bbp+1063,0x1.31074bac1d6b5c05ee324a222343p+1062
0x1.58eabb1a1e53507b255246cf235fp+1070,0x1.ef1b3bf8dae010043c4d19df4969p+1068
0x1.144583056c46da1ae2ca7a59ac5fp+1077,0x1.93a7a4899237b75b9e4c6a5825cep+1075
0x1.bcb6c2b8bf0ebcb27c14d722c49cp+1083,0x1.4a98f54bf35d05b0e59fdcb26185p+1082
0x1.67a5f98bda1682bbae1c9cbf0a2ep+1090,0x1.0ffeafc9aae91ebe5bc4b9f99644p+1089
0x1.243ee41848639417f3ee4dbbfd16p+1097,0x1.c1974abe544ba271e9dc73e0d145p+1095
0x1.dd361ca284685075427621845396p+1103,0x1.7540eec88c09684eb3142efdf0aep+1102
0x1.8777cfcb2179ed9cfef50add0790p+1110,0x1.3746544456e2b276b76e9a55c691p+1109
0x1.42a516119d326b177189c8d86173p+1117,0x1.04c0fa3b65b061831638ae452a45p+1116
0x1.0b2b556d63825caed041bbf6eb40p+1124,0x1.b6d25d1ca8f66051a6ed525db5bdp+1122
0x1.bc87e4ce4a0b9a3c4e6a9526966ep+1130,0x1.72e4db57a1b58c669cf8b2d754e1p+1129
0x1.7389526cfb9b1198c8f3b1e403b3p+1137,0x1.3ae02c55e27c76aa400509449084p+1136
0x1.37f6fa54ae70ed2789ee7db2bc82p+1144,0x1.0c80d738dfe80de7dbc91189bd14p+1143
0x1.0726a5fc7af917434ebe6ccc0fb9p+1151,0x1.cbf194e35bc4c315a039f5ec0dfcp+1149
0x1.bdfc349817fd7e1c8e12dd059ef3p+1157,0x1.8bac9443e53554050f1c2329c1fcp+1156
0x1.7ba63dcb0417f155c99bc69ab368p+1164,0x1.55e0ef8ec792b021107c00070f68p+1163
0x1.44a5e03fa5cda582d8f422b0d0f9p+1171,0x1.28b04c9478fd3711bae72ada85bcp+1170
0x1.16dea3f68c243a2c8afd5ca3aa00p+1178,0x1.0297fb2df5e8612475ac67a4c43ep+1177
0x1.e13fb22ae3c0fed232113679985cp+1184,0x1.c4bcb476ed0d6e17dcdb11c63ed2p+1183
0x1.a11bbc6a16f4babceb8eb2b831c8p+1191,0x1.8e0867e0373685dcabda05300e60p+1190
0x1.6b20da42fdc0173af7df33470fdep+1198,0x1.5f725f3d96b8cd1377d3bebbdb17p+1197
0x1.3d898b115bbbf10eab403f0878b9p+1205,0x1.37a556bdd70c4e43b6612fc24741p+1204
0x1.16e5a7f647ee0758f0c053d5d7c5p+1212,0x1.1588ef1eaf08d06754465966fa7dp+1211
0x1.ec12a4192c06a96f021f04ba093ap+1218,0x1.f06c322d0d908eda00573e87abdep+1217
0x1.b3fef1ffc6c956338aa17204e2cbp+1225,0x1.bddba86647440bdfb6edb57a0886p+1224
0x1.83fe5ea06a4b950a716b9777036bp+1232,0x1.922387c9a37fbf223e05335c8c5dp+1231
0x1.5ac65ffd8b25ceeff02768948d4ap+1239,0x1.6c3c71c94123faf7721fef371238p+1238
0x1.3746399942bb043206aa9fdaa37bp+1246,0x1.4b4ac4b97a57d773247684a89300p+1245
0x1.189c2e99def9c0795d99020db720p+1253,0x1.2e96d556ff9e50cfb1549885277dp+1252
0x1.fc19af61ddf467c4f017d0dc0a8bp+1259,0x1.1586a0c219a347563dcfd39d3cfep+1259
0x1.cdf855c85f6793c624f98f20d442p+1266,0x1.ff31583347ffc12f3f63d7a90e36p+1265
0x1.a5cfb820b174259780238a9f0d4bp+1273,0x1.d8bface266cc824ce9974574d68dp+1272
0x1.82c5a04637ae163f77ab737721c8p+1280,0x1.b6ffdc21bd934af0b19f99b19621p+1279
0x1.6422d7d1e558ef6bb64106dd1845p+1287,0x1.9955c70705cd9e25e7ac5e27cfb9p+1286
0x1.494d25c310c1d9241ab4f492b881p+1294,0x1.7f3cf90d1f035a2430e032d2377bp+1293
0x1.31c267367e70faadb249be439afdp+1301,0x1.6844ddcdd8f278db123b8750cc2dp+1300
0x1.1d148c5d1ba8c93b7c1b0008f1b0p+1308,0x1.540da0236ec8b94a4b061af975dcp+1307
0x1.0ae64e0a9e05d6f121da17a25787p+1315,0x1.424593c4085fdab22e5ea5219a4ep+1314
0x1.f5d0f1fc683f791653d0e354de60p+1321,0x1.32a710674d303ef0ae2596e91aa5p+1321
0x1.d9af65f3a29200d4db40572dec26p+1328,0x1.24f6aa4f9c7d88c040198e15916fp+1328
0x1.c0f5467c84b0788bf1cb1bfaf819p+1335,0x1.1901b7e69df7c4ba2508523baaf1p+1335
0x1.ab40d8c59b950c5cb0bf34594235p+1342,0x1.0e9d1732526d1fc5534d58f984d1p+1342
0x1.983ed1f90da9dc1c295ae45211a8p+1349,0x1.05a428646faa96cae8b245319316p+1349
0x1.87a83ea7c537175ea1a607009c7dp+1356,0x1.fbefe99215cb5cef915a14a87e60p+1355
0x1.7940c5485b02f0bb32b8c7aa897fp+1363,0x1.eefcf5f8643c3c50cd8c8ffcfc04p+1362
0x1.6cd5345b634b372724200a727952p+1370,0x1.e444354788c8dff67eb7ab1d1401p+1369
0x1.623a4fafc64cabf384810f44fb65p+1377,0x1.dba236068b70ca0ea2b69ef20ba0p+1376
0x1.594bd29dfdfff81c57a9a46cb390p+1384,0x1.d4fa914e3b3f8d243ec199ffa0e6p+1383
0x1.51eb9efd53827cb9849ac45eaf24p+1391,0x1.d0374e4b79c082599154f3bcb68fp+1390
0x1.4c0112297ca31e32a200291c2178p+1398,0x1.cd48692f7572aa3c74bd104ac6a7p+1397
0x1.47787abb971b2510bb453200bdc8p+1405,0x1.cc2379e587d38d3620d2ced573d6p+1404
0x1.4442aaae273b066f1800bf51b516p+1412,0x1.ccc377d77ecf2f9c944e85ff22fbp+1411
